epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,232.494,2.85051,9.67313,1.74216,0,0,0,0,2.18451,8.25859,1.32629,9.625e-05,9.625e-05,9.625e-05
2,568.944,1.95685,7.59133,1.16375,0,0,0,0,2.17724,8.152,1.2123,0.000186631,0.000186631,0.000186631
3,1208,2.01032,7.18056,1.0688,0,0,0,0,2.00843,7.03005,1.2075,0.000267101,0.000267101,0.000267101
4,1386.51,1.9528,5.98353,1.1325,0.0375,0.36,0.08939,0.02803,2.15124,6.68979,1.2814,0.000327827,0.000327827,0.000327827
5,1505.34,1.75866,5.17077,1.07915,0.0248,0.58,0.18852,0.06279,2.10634,5.92109,1.20063,0.00030877,0.00030877,0.00030877
6,1640.01,1.58475,4.44709,1.02108,0.47998,0.24,0.22921,0.12215,1.94627,5.78682,1.18274,0.000289712,0.000289712,0.000289712
7,1877.9,1.72214,5.38926,1.07991,0.62158,0.27561,0.29372,0.14112,2.03406,5.47821,1.23343,0.000270655,0.000270655,0.000270655
8,2023.98,1.61427,4.80177,1.03468,0.7058,0.31634,0.33247,0.14458,2.13734,5.35192,1.2228,0.000251597,0.000251597,0.000251597
9,2178,1.60539,4.56333,1.02697,0.7322,0.38508,0.4066,0.16349,2.1821,5.36416,1.23602,0.00023254,0.00023254,0.00023254
10,2314.84,1.5867,4.27328,1.02143,0.66137,0.39,0.45111,0.19895,2.09615,5.10458,1.2232,0.000213482,0.000213482,0.000213482
11,2456.76,1.61798,4.78185,1.05062,0.67431,0.34994,0.43,0.19588,1.99239,4.8999,1.19196,0.000194425,0.000194425,0.000194425
12,2590.73,1.4747,4.49116,1.03905,0.68545,0.32917,0.41967,0.23346,1.98033,4.90681,1.22414,0.000175367,0.000175367,0.000175367
13,2734.79,1.48664,4.37581,1.03315,0.72623,0.36445,0.42823,0.24706,1.93762,4.73006,1.28022,0.00015631,0.00015631,0.00015631
14,2885.25,1.4358,4.15892,1.01305,0.82781,0.34,0.42792,0.24665,1.9105,4.59264,1.23117,0.000137252,0.000137252,0.000137252
15,3106.42,1.3786,4.12363,0.99585,0.85911,0.34,0.43163,0.24166,1.9022,4.4155,1.21801,0.000118195,0.000118195,0.000118195
16,3306.25,1.35276,3.8473,1.03283,0.85667,0.33901,0.44824,0.25833,1.93627,4.44998,1.23434,9.91375e-05,9.91375e-05,9.91375e-05
17,4007.84,1.43152,3.79566,1.02096,0.8214,0.34,0.447,0.25918,1.97433,4.40096,1.24795,8.008e-05,8.008e-05,8.008e-05
18,9175.61,1.45194,4.06418,1.02084,0,0,0,0,1.96349,4.31203,1.20397,6.10225e-05,6.10225e-05,6.10225e-05
19,9783.1,1.34698,3.69603,1.02278,0.62459,0.39,0.4589,0.23842,1.95651,4.22148,1.19984,4.1965e-05,4.1965e-05,4.1965e-05
20,10016.4,1.38366,3.74127,1.01755,0.7545,0.39,0.46079,0.24144,1.92627,4.17863,1.19715,2.29075e-05,2.29075e-05,2.29075e-05
